Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
SMTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,41,22,0,22,41,0.0,0.0,0.0
SMTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,41,22,2,20,39,0.049,0.091,0.063
SMTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,22,22,0,22,22,0.0,0.0,0.0
SMTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,29,22,1,21,28,0.034,0.045,0.039
SMTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,22,0,22,5,0.0,0.0,0.0
SMTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,22,0,22,0,0.0,0.0,0.0
SMTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,22,0,22,0,0.0,0.0,0.0
TCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,27,20,7,13,20,0.259,0.35,0.298
TCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,103,20,12,8,91,0.117,0.6,0.195
TCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,84,20,13,7,71,0.155,0.65,0.25
TCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,132,20,16,4,116,0.121,0.8,0.211
TCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,114,20,16,4,98,0.14,0.8,0.239
TCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,94,20,15,5,79,0.16,0.75,0.263
TCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,20,0,20,0,0.0,0.0,0.0
TCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,77,20,15,5,62,0.195,0.75,0.309
