Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
SIP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,11,20,7,13,4,0.636,0.35,0.452
SIP,qwen3.5_9b_qwen_think_ollama_json_schema_output,18,20,11,9,7,0.611,0.55,0.579
SMTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,12,22,0,22,12,0.0,0.0,0.0
SMTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,13,22,0,22,13,0.0,0.0,0.0
SMTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,12,22,2,20,10,0.167,0.091,0.118
SMTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,10,22,0,22,10,0.0,0.0,0.0
SMTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,10,22,0,22,10,0.0,0.0,0.0
SMTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,10,22,1,21,9,0.1,0.045,0.063
SMTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,3,22,0,22,3,0.0,0.0,0.0
TCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,11,20,4,16,7,0.364,0.2,0.258
TCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,23,20,4,16,19,0.174,0.2,0.186
TCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,0,20,0,20,0,0.0,0.0,0.0
TCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,20,20,13,7,7,0.65,0.65,0.65
TCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,43,20,10,10,33,0.233,0.5,0.317
TCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,23,20,9,11,14,0.391,0.45,0.419
TCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,25,20,9,11,16,0.36,0.45,0.4
