Split Method,Protocol,Model,Common Condition,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Whole Document,RTSP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.885,0.697,0.78,0.846,0.667,0.746
Whole Document,RTSP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,1.0,1.0,1.0,0.939,0.939,0.939
Whole Document,RTSP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.773,0.515,0.618,0.773,0.515,0.618
Whole Document,RTSP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.812,0.788,0.8,0.812,0.788,0.8
Whole Document,SIP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.833,1.0,0.909,0.545,0.9,0.679,0.576,0.95,0.717
Whole Document,SIP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.053,0.2,0.083,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,SIP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,0.8,0.889,0.636,0.35,0.452,0.818,0.45,0.581
Whole Document,SIP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.833,1.0,0.909,0.611,0.55,0.579,0.722,0.65,0.684
Whole Document,SMTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.273,0.429,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,SMTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.286,0.286,0.286,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,SMTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.4,0.286,0.333,0.167,0.091,0.118,0.167,0.091,0.118
Whole Document,SMTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.5,0.143,0.222,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,SMTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.6,0.429,0.5,0.0,0.0,0.0,0.1,0.045,0.063
